ticker,ref_date,volume,price_open,price_high,price_low,price_close,price_adjusted,ret_adjusted_prices,ret_closing_prices,cumret_adjusted_prices
^BVSP,2021-10-01,243860400,105707,114927,102854,103501,103501,-0.06738211733751431,-0.06738211733751431,2.2064679798755003
^BVSP,2021-11-01,236342500,102814,108669,100075,101915,101915,-0.015323523444217946,-0.015323523444217946,2.1726571160569614
^BVSP,2021-12-01,234055900,104106,109493,100727,104822,104822,0.028523769808173505,0.028523769808173505,2.2346294875074606
^BVSP,2022-01-03,245216600,111910,113057,100850,112388,112388,0.07217950430253195,0.07217950430253195,2.39592393621557
^BVSP,2022-02-01,224030100,111591,115734,109125,113142,113142,0.0067089013061891745,0.0067089013061891745,2.4119979534407765
^BVSP,2022-03-02,268389000,120261,120900,107781,119999,119999,0.06060525711053377,0.06060525711053377,2.558177709559136
^BVSP,2022-04-01,203123000,109922,121628,107876,107876,107876,-0.10102584188201569,-0.10102584188201569,2.2997356527671178
PETR3.SA,2015-01-02,499984500,8.03,10.16,7.78,8.04,5.670724,NA,NA,1
PETR3.SA,2015-02-02,335879100,9.25,10.6,8.01,9.48,6.686375,0.17910429073959522,0.17910447761194037,1.1791042907395952
PETR3.SA,2015-03-02,371798700,9.55,9.85,7.93,9.58,6.756907,0.010548615654969895,0.010548523206751037,1.1915422087197332
PETR3.SA,2015-04-01,524031500,13.65,15.03,9.7,14.25,10.050723,0.48747392852972515,0.48747390396659696,1.7723879702133272
PETR3.SA,2015-05-04,332658800,13.67,16.26,13.23,13.25,9.345407,-0.07017564806034349,-0.07017543859649122,1.6480094957892502
PETR3.SA,2015-06-01,337042200,14.25,15.05,13.13,14.03,9.895553,0.0588680621400437,0.05886792452830192,1.7450246211947538
PETR3.SA,2015-07-01,324560200,11.58,14.22,10.42,11.58,8.167536,-0.1746256121310249,-0.17462580185317178,1.44029862853491
PETR3.SA,2015-08-03,430561400,10,11.7,8.35,10.62,7.490433,-0.08290174662223704,-0.08290155440414515,1.3208953565717534
PETR3.SA,2015-09-01,413581200,8.6,10.83,7.66,8.54,6.023381,-0.19585676822688358,-0.19585687382297556,1.0621890608677127
PETR3.SA,2015-10-01,315851200,9.25,11.18,8.27,9.38,6.615845,0.09836070472712932,0.09836065573770503,1.1666667254481087
PETR3.SA,2015-11-03,300500500,9.25,10.8,8.67,9.41,6.637005,0.003198382066085248,0.0031982942430703876,1.1703981713798803
PETR3.SA,2015-12-01,280757500,8.57,10.3,8.18,8.57,6.04454,-0.08926692084758125,-0.08926673751328373,1.0659203304551588
PETR3.SA,2016-01-04,294238700,6.61,8.96,5.67,6.93,4.887826,-0.1913650997429085,-0.19136522753792307,0.8619403800996133
PETR3.SA,2016-02-01,294012200,7.15,7.75,5.78,7.35,5.184057,0.060605880814906365,0.06060606060606055,0.9141790360454856
PETR3.SA,2016-03-01,516308300,10.63,11.29,7.21,10.63,7.497487,0.44625859630787224,0.44625850340136064,1.3221392894452275
PETR3.SA,2016-04-01,167660800,13.75,13.97,9.39,13.27,9.359515,0.24835361501793884,0.2483537158984006,1.6504973615361989
PETR3.SA,2016-05-02,203136200,10.6,13.54,10.18,10.18,7.180095,-0.23285608282053083,-0.23285606631499622,1.2661690112232582
PETR3.SA,2016-06-01,250707700,11.45,12.26,9.95,11.51,8.118164,0.13064854991472963,0.13064833005893917,1.431592156486544
PETR3.SA,2016-07-01,196704400,13.57,14.16,11.01,14.01,9.881448,0.2172023132324008,0.21720243266724593,1.7425372844807823
PETR3.SA,2016-08-01,222874500,15.3,15.57,12.84,14.74,10.396327,0.05210562257677198,0.05210563882940766,1.833333274551891
PETR3.SA,2016-09-01,212295500,15.22,16.450001,14.18,15.14,10.678454,0.027137180275303097,0.027137042062415295,1.8830847701281175
PETR3.SA,2016-10-03,237937900,19.129999,19.719999,15.18,18.639999,13.147052,0.23117559901461382,0.23117562747688236,2.3184080198577814
PETR3.SA,2016-11-01,242836900,17.809999,18.860001,15.8,18.469999,13.027149,-0.009120143435958128,-0.009120172163099238,2.2972638061736026
PETR3.SA,2016-12-01,205343700,17.01,19.139999,16.190001,16.940001,11.948017,-0.08283715799980484,-0.08283692922777108,2.106965001294367
PETR3.SA,2017-01-02,126208400,16.299999,18.85,16.139999,16.190001,11.419033,-0.04427379037040202,-0.044273905296699834,2.0136816745092863
PETR3.SA,2017-02-01,160321100,16.280001,17.43,15.4,15.96,11.256809,-0.014206456886498242,-0.014206361074344476,1.9850743926172385
PETR3.SA,2017-03-01,240969000,15.08,16.57,13.48,15.15,10.685506,-0.050751771661045386,-0.050751879699248104,1.8843283503129402
PETR3.SA,2017-04-03,134758200,14.19,15.75,13.95,14.36,10.128305,-0.05214549502849941,-0.052145214521452155,1.7860691156896362
PETR3.SA,2017-05-02,248707700,14.12,16.360001,12.9,13.62,9.606376,-0.05153172223782754,-0.05153203342618384,1.6940298981223556
PETR3.SA,2017-06-01,180612400,13.11,14.16,12.65,13.2,9.310143,-0.030837123177356318,-0.03083700440528636,1.6417908894878321
PETR3.SA,2017-07-03,124526300,13.72,13.94,12.47,13.8,9.733333,0.04545472609819212,0.045454545454545636,1.7164180446800088
PETR3.SA,2017-08-01,182435700,14,14.63,13.36,13.97,9.853236,0.012318801791739942,0.01231884057971011,1.7375622583641877
PETR3.SA,2017-09-01,166660800,16.07,16.440001,14.14,15.81,11.151014,0.13171084098665653,0.13171080887616315,1.966418044680009
PETR3.SA,2017-10-02,153630400,17.42,17.629999,15.62,17.42,12.286568,0.10183414710088257,0.10183428209993672,2.166666549103783
PETR3.SA,2017-11-01,163809100,15.9,18.139999,15.64,15.95,11.249756,-0.08438581058599937,-0.08438576349024118,1.9838306360880902
PETR3.SA,2017-12-01,151820900,16.91,16.98,15.5,16.91,11.926859,0.06018823874935597,0.06018808777429463,2.103233908051247
PETR3.SA,2018-01-02,183152400,21.49,21.940001,16.98,21.299999,15.023187,0.25960967594234163,0.259609639266706,2.649253781351376
PETR3.SA,2018-02-01,216104400,23.200001,23.610001,19.67,23.15,16.328014,0.08685420743281691,0.08685451111993014,2.8793526188190426
PETR3.SA,2018-03-01,185832300,23.02,24.34,22.209999,23.360001,16.476133,0.009071464539410767,0.00907131749460044,2.9054725639971193
PETR3.SA,2018-04-02,156625500,24.49,24.799999,22.18,24.629999,17.371881,0.0543663977463642,0.054366350412399456,3.063432641052535
PETR3.SA,2018-05-02,400827900,21.49,31.799999,19.73,22.190001,15.677814,-0.0975177644838805,-0.09906610227633394,2.764693538250142
PETR3.SA,2018-06-01,333972100,19,22.870001,16.9,19.42,13.720738,-0.12483092349481884,-0.12483104439697845,2.4195742906902185
PETR3.SA,2018-07-02,173132700,21.870001,22.389999,19.1,21.940001,15.501185,0.129763209529983,0.12976318228630257,2.7335460163464136
PETR3.SA,2018-08-01,213910100,21.74,23.84,20.48,22.08,15.634997,0.008632372299279156,0.006380993328122475,2.757143003256727
PETR3.SA,2018-09-03,170598100,24.24,24.92,21.190001,24.23,17.157427,0.09737321983496372,0.09737318840579712,3.0256148950292765
PETR3.SA,2018-10-01,323681400,30.77,31,23.860001,30.32,21.469793,0.2513410664664346,0.2513413124226165,3.7860761694626643
PETR3.SA,2018-11-01,219817000,27.51,30.940001,26.040001,28.129999,19.99206,-0.06882846984132551,-0.07222958443271765,3.5254863400158425
PETR3.SA,2018-12-03,222438900,24.780001,29.4,23.33,25.4,18.090132,-0.09513416826480103,-0.09704938133840679,3.1900921293295177
PETR3.SA,2019-01-02,192992200,29.700001,29.969999,25.1,29.549999,21.045805,0.16338592775331873,0.16338578740157494,3.7113082914985807
PETR3.SA,2019-02-01,184120100,31.200001,31.790001,28.76,29.860001,21.266594,0.01049087929874859,0.010490761776337232,3.750243178825137
PETR3.SA,2019-03-01,228517200,31.33,33.700001,28.540001,31.15,22.185341,0.043201417208604154,0.04320157256525192,3.912258999027284
PETR3.SA,2019-04-01,220506700,30.370001,33.049999,28.889999,29.959999,21.337812,-0.038202207484663075,-0.03820227929373998,3.7628020690127033
PETR3.SA,2019-05-02,189411200,28.620001,30.469999,27.41,28.23,20.175743,-0.054460551063061136,-0.05774362676046818,3.557877794793045
PETR3.SA,2019-06-03,282508400,30.110001,32.029999,28.24,30.02,21.45504,0.06340767722903684,0.06340772228126101,3.7834745616256398
PETR3.SA,2019-07-01,215314900,29,31.67,28.35,28.790001,20.575974,-0.040972470804062855,-0.04097265156562291,3.6284562606115185
PETR3.SA,2019-08-01,244178100,28.17,29.74,26.219999,28.27,20.350475,-0.010959335387962676,-0.018061861130188928,3.588690791510924
PETR3.SA,2019-09-02,151581100,30.440001,31.299999,27.610001,30.15,21.703814,0.06650159271466638,0.06650159179342063,3.827344444906857
PETR3.SA,2019-10-01,188503900,32.400002,32.77,28.049999,32.700001,23.539461,0.08457716233653678,0.0845771475953565,4.151050377341587
PETR3.SA,2019-11-01,209617000,31.59,33.650002,30.82,31.200001,22.59667,-0.04005151179969668,-0.045871558230227594,3.9847945341723547
PETR3.SA,2019-12-02,204844400,32.380001,32.98,30.67,32,23.176071,0.025640990464524283,0.02564099276791687,4.086968612826157
PETR3.SA,2020-01-02,252643600,30.530001,33.23,29.52,30.35,21.981056,-0.05156244990792447,-0.051562499999999956,3.8762344984520487
PETR3.SA,2020-02-03,658144900,26.610001,33,25.92,27.15,19.663448,-0.10543660868704396,-0.10543657331136747,3.4675374784595396
PETR3.SA,2020-03-02,1093961800,13.58,28.860001,10.5,14.14,10.240928,-0.479189611099742,-0.4791896869244935,1.8059295426827329
PETR3.SA,2020-04-01,615486400,18.73,19.299999,13.41,18.65,13.887003,0.35602974652297137,0.3189533239038187,2.4488941800024118
PETR3.SA,2020-05-04,435670400,20.32,20.92,17.1,20.84,15.517701,0.11742620059922215,0.11742627345844503,2.7364585192296427
PETR3.SA,2020-06-01,375881900,22.17,23.83,20.1,22.34,16.634619,0.07197702804042949,0.07197696737044157,2.933420670799707
PETR3.SA,2020-07-01,303463000,23.450001,24.48,22.26,22.700001,17.07523,0.02648759193102057,0.01611463742166519,3.01111992048987
PETR3.SA,2020-08-03,337484900,22.91,24.610001,21.940001,22.32,16.789387,-0.01674021374821888,-0.016740131421139615,2.96071312939935
PETR3.SA,2020-09-01,434946800,19.75,23.690001,19.57,19.77,14.871243,-0.11424741117707282,-0.114247311827957,2.6224593191275045
PETR3.SA,2020-10-01,404194100,19.1,21.07,17.74,19,14.29204,-0.038947853921827535,-0.03894790085988875,2.520320156650191
PETR3.SA,2020-11-03,431033200,25.709999,27.120001,19.32,25.549999,19.21903,0.34473665061110936,0.34473678947368414,3.389166885921444
PETR3.SA,2020-12-01,265268200,28.85,29.129999,25.92,28.85,21.701334,0.12915865160728712,0.12915855691422928,3.826907110979126
PETR3.SA,2021-01-04,309846400,28.23,32.34,27.09,27.33,20.557972,-0.0526862542182891,-0.05268630849220113,3.625281710060302
PETR3.SA,2021-02-01,737244700,22.870001,30.950001,21.35,22.15,16.661509,-0.18953537829509648,-0.18953530918404682,2.9381625697177283
PETR3.SA,2021-03-01,679951100,23.59,24.120001,20.6,23.940001,18.007969,0.08081260826975512,0.08081268623024829,3.1756031504971842
PETR3.SA,2021-04-01,441502700,22.889999,24.43,22.43,23.1,17.966682,-0.002292707189800236,-0.03508775960368582,3.168322422322087
PETR3.SA,2021-05-03,382716200,26.709999,26.860001,22.48,26.65,20.727797,0.15367973897461984,0.15367965367965364,3.6552293851719804
PETR3.SA,2021-06-01,496739800,29.6,30.49,26.77,30.290001,23.558912,0.13658542680633157,0.13658540337711078,4.15448045082074
PETR3.SA,2021-07-01,264436000,28.030001,30.84,26.33,27.5,21.388908,-0.09210968655937923,-0.09210963710433684,3.7718125586785733
PETR3.SA,2021-08-02,387612300,28.709999,30.049999,26.440001,27.92,22.975851,0.074194671368917,0.015272727272727327,4.051660951934884
PETR3.SA,2021-09-01,389989900,28.33,28.83,24.5,28.15,23.165121,0.008237779745351004,0.008237822349570045,4.0850376424597625
PETR3.SA,2021-10-01,408052200,29.4,30.889999,26.82,27.67,22.770123,-0.017051411041625775,-0.017051509769093975,4.015381986497667
PETR3.SA,2021-11-01,406411200,30,30.700001,26.540001,30.139999,24.802727,0.08926627229901207,0.08926631731116719,4.373820168288916
PETR3.SA,2021-12-01,435934050,30.950001,32.040001,26.9,30.700001,28.293835,0.14075500649585826,0.018580027159257773,4.989457254488139
PETR3.SA,2022-01-03,462567800,36.049999,37.799999,30.389999,35.27,32.505653,0.14885991948422683,0.1488598974312738,5.732187459661234
PETR3.SA,2022-02-01,321780200,35.599998,37.650002,34.419998,36.369999,33.519436,0.03118789830187363,0.031187950099234474,5.910962339200425
PETR3.SA,2022-03-02,451208800,34.619999,38.080002,32,35.240002,32.478004,-0.031069496515394812,-0.031069481195201698,5.727311715400007
PETR3.SA,2022-04-01,283827000,34.029999,37.73,32.419998,33.439999,33.439999,0.029619892897359223,-0.05107840232245153,5.896954074999946
